City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,284.72,90,90,1.34,NZ,2023-11-27 20:05:15
1,wailua homesteads,22.0669,-159.378,298.39,90,90,5.14,US,2023-11-27 20:08:05
2,bethel,41.3712,-73.414,282.71,63,63,2.57,US,2023-11-27 20:08:05
3,adamstown,-25.066,-130.1015,295.13,82,82,12.24,PN,2023-11-27 20:08:05
4,lihue,21.9789,-159.3672,298.73,86,86,5.14,US,2023-11-27 20:08:05
5,maragogi,-9.0122,-35.2225,299.24,80,80,4.93,BR,2023-11-27 20:08:05
6,nova sintra,14.8667,-24.7167,295.47,66,66,3.47,CV,2023-11-27 20:08:05
7,blackmans bay,-43.0167,147.3167,284.22,86,86,1.55,AU,2023-11-27 20:08:05
8,vorgashor,67.5833,63.95,250.54,98,98,2.05,RU,2023-11-27 20:08:06
9,pacific grove,36.6177,-121.9166,293.38,32,32,3.09,US,2023-11-27 20:08:06
10,puerto ayora,-0.7393,-90.3518,299.57,86,86,4.02,EC,2023-11-27 20:08:06
11,sungai penuh,-2.0833,101.3833,291.39,98,98,0.3,ID,2023-11-27 20:08:06
12,yellowknife,62.456,-114.3525,265.05,100,100,2.24,CA,2023-11-27 20:08:06
13,edinburgh of the seven seas,-37.0676,-12.3116,286.54,67,67,5.81,SH,2023-11-27 20:08:06
14,port-aux-francais,-49.35,70.2167,277.45,76,76,8.93,TF,2023-11-27 20:08:06
15,albany,42.6001,-73.9662,279.94,58,58,1.34,US,2023-11-27 20:03:21
16,selkirk,50.1436,-96.8845,261.57,72,72,3.13,CA,2023-11-27 20:03:25
17,vorkuta,67.5,64.0,250.48,98,98,2.23,RU,2023-11-27 20:08:06
18,sokoni,-6.4333,39.55,300.21,81,81,4.7,TZ,2023-11-27 20:08:07
19,northam,51.0333,-4.2167,281.29,81,81,8.82,GB,2023-11-27 20:03:23
20,dudinka,69.4058,86.1778,253.0,96,96,4.84,RU,2023-11-27 20:06:06
21,avarua,-21.2078,-159.775,298.18,73,73,9.26,CK,2023-11-27 20:08:07
22,west island,-12.1568,96.8225,298.14,78,78,3.6,CC,2023-11-27 20:08:07
23,kununurra,-15.7667,128.7333,300.14,94,94,0.51,AU,2023-11-27 20:08:07
24,hadibu,12.65,54.0333,299.06,66,66,4.94,YE,2023-11-27 20:08:07
25,shortandy,51.7006,70.9994,274.73,68,68,7.28,KZ,2023-11-27 20:08:07
26,la passe,45.5549,-0.8967,285.36,85,85,8.43,FR,2023-11-27 20:08:07
27,coquimbo,-29.9533,-71.3436,291.07,74,74,4.1,CL,2023-11-27 20:05:20
28,ribeira grande,38.5167,-28.7,291.37,94,94,2.57,PT,2023-11-27 20:08:08
29,el calafate,-50.3408,-72.2768,284.92,46,46,2.85,AR,2023-11-27 20:08:08
30,gaspe,48.8334,-64.4819,277.27,93,93,10.29,CA,2023-11-27 20:08:08
31,saipan,15.1355,145.701,300.54,94,94,5.14,MP,2023-11-27 20:08:08
32,college,64.8569,-147.8028,267.29,86,86,0.0,US,2023-11-27 20:08:08
33,tiksi,71.6872,128.8694,249.76,100,100,2.62,RU,2023-11-27 20:08:08
34,ati,13.2154,18.3353,303.69,18,18,6.87,TD,2023-11-27 20:08:08
35,puerto natales,-51.7236,-72.4875,285.4,40,40,4.12,CL,2023-11-27 20:05:20
36,san patricio,28.017,-97.5169,286.41,37,37,4.04,US,2023-11-27 20:05:51
37,tolanaro,-25.0319,46.9987,297.84,88,88,6.49,MG,2023-11-27 20:08:09
38,margaret river,-33.95,115.0667,290.43,86,86,2.69,AU,2023-11-27 20:08:09
39,malpils,57.0111,24.9631,268.09,95,95,5.41,LV,2023-11-27 20:08:09
40,island harbour,50.724,-1.2758,279.78,86,86,4.92,GB,2023-11-27 20:08:09
41,mar del plata,-38.0023,-57.5575,293.61,93,93,6.17,AR,2023-11-27 20:03:39
42,dhanaura,28.9667,78.25,290.86,61,61,2.34,IN,2023-11-27 20:08:09
43,okhotsk,59.3833,143.3,259.77,81,81,5.81,RU,2023-11-27 20:08:09
44,yima,34.7381,111.8839,278.63,36,36,1.26,CN,2023-11-27 20:08:09
45,ola,59.5833,151.2833,256.56,70,70,4.4,RU,2023-11-27 20:08:09
46,carutapera,-1.195,-46.02,301.91,68,68,3.98,BR,2023-11-27 20:08:10
47,dunedin,-45.8742,170.5036,286.93,91,91,2.68,NZ,2023-11-27 20:08:10
48,grytviken,-54.2811,-36.5092,273.57,84,84,6.77,GS,2023-11-27 20:08:10
49,chonchi,-42.6128,-73.8092,288.22,59,59,3.7,CL,2023-11-27 20:08:10
50,yuxia,34.0615,108.6291,282.38,41,41,0.72,CN,2023-11-27 20:08:10
51,guerrero negro,27.9769,-114.0611,295.23,50,50,2.13,MX,2023-11-27 20:08:10
52,enewetak,11.3474,162.3373,300.97,75,75,10.13,MH,2023-11-27 20:08:10
53,pallasovka,50.05,46.8833,276.17,68,68,7.93,RU,2023-11-27 20:08:11
54,aasiaat,68.7098,-52.8699,267.75,89,89,7.82,GL,2023-11-27 20:08:11
55,iqaluit,63.7506,-68.5145,270.0,73,73,6.71,CA,2023-11-27 20:08:11
56,bazarak,35.3129,69.5152,277.94,39,39,1.33,AF,2023-11-27 20:08:11
57,haiku-pauwela,20.9219,-156.3051,298.16,71,71,3.6,US,2023-11-27 20:08:11
58,port augusta,-32.5,137.7667,290.19,85,85,5.11,AU,2023-11-27 20:08:11
59,aykhal,66.0,111.5,249.48,99,99,3.97,RU,2023-11-27 20:08:11
60,anadyr,64.75,177.4833,273.43,80,80,9.0,RU,2023-11-27 20:08:11
61,markovo,57.3206,107.0881,254.17,99,99,1.19,RU,2023-11-27 20:03:55
62,qaqortoq,60.7167,-46.0333,259.83,73,73,3.98,GL,2023-11-27 20:08:12
63,kerikeri,-35.2268,173.9474,289.21,89,89,0.45,NZ,2023-11-27 20:04:59
64,ingleside,27.8778,-97.2117,286.49,52,52,5.66,US,2023-11-27 20:08:12
65,torbat-e jam,35.244,60.6225,285.85,55,55,3.23,IR,2023-11-27 20:08:12
66,port saint john's,-31.6229,29.5448,294.06,88,88,2.35,ZA,2023-11-27 20:08:12
67,el granada,37.5027,-122.4694,291.4,45,45,0.89,US,2023-11-27 20:08:12
68,kamakwie,9.5,-12.2333,300.59,67,67,1.54,SL,2023-11-27 20:08:12
69,jamestown,42.097,-79.2353,273.92,70,70,8.75,US,2023-11-27 20:08:12
70,ushuaia,-54.8,-68.3,285.94,58,58,3.87,AR,2023-11-27 20:05:25
71,dutsen wai,10.8501,8.199,297.42,27,27,3.02,NG,2023-11-27 20:08:12
72,dzhetygara,52.1908,61.2006,273.03,89,89,3.62,KZ,2023-11-27 20:08:13
73,karasu mahallesi,41.071,30.7854,276.9,68,68,3.98,TR,2023-11-27 20:08:13
74,khandyga,62.6667,135.6,241.14,96,96,0.43,RU,2023-11-27 20:08:13
75,camana,-16.6228,-72.7111,295.15,69,69,4.05,PE,2023-11-27 20:08:13
76,rong kwang,18.339,100.3174,292.51,89,89,1.21,TH,2023-11-27 20:08:13
77,invercargill,-46.4,168.35,288.16,92,92,2.24,NZ,2023-11-27 20:03:50
